,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-13,14.859895647246303,20.167064450797085,91.92966958550919,14.859895647246303,14.859895647246303,41.28478471337546,41.28478471337546,41.28478471337546,-2.765059325447595,-2.765059325447595,-2.765059325447595,44.04984403882305,44.04984403882305,44.04984403882305,0.0,0.0,0.0,56.14468036062176
1,2020-01-14,15.381701563615158,18.706919693985842,89.52239113054887,15.381701563615158,15.381701563615158,40.174465087159305,40.174465087159305,40.174465087159305,-4.2786248826183995,-4.2786248826183995,-4.2786248826183995,44.45308996977771,44.45308996977771,44.45308996977771,0.0,0.0,0.0,55.556166650774465
2,2020-01-15,15.903507479984016,21.985538604209882,92.2629931032528,15.903507479984016,15.903507479984016,41.135758026083955,41.135758026083955,41.135758026083955,-3.4489809361670187,-3.4489809361670187,-3.4489809361670187,44.584738962250974,44.584738962250974,44.584738962250974,0.0,0.0,0.0,57.03926550606797
3,2020-01-16,16.425313396352873,21.353460865630012,93.90855666318558,16.425313396352873,16.425313396352873,40.143510425317714,40.143510425317714,40.143510425317714,-4.312581032721277,-4.312581032721277,-4.312581032721277,44.45609145803899,44.45609145803899,44.45609145803899,0.0,0.0,0.0,56.56882382167059
4,2020-01-17,16.94711931272173,20.01887254054155,89.70730283604898,16.94711931272173,16.94711931272173,38.828548734798034,38.828548734798034,38.828548734798034,-5.255470866949274,-5.255470866949274,-5.255470866949274,44.08401960174731,44.08401960174731,44.08401960174731,0.0,0.0,0.0,55.77566804751976
5,2020-01-21,19.034342978197152,22.316366666870138,89.5846698095204,19.034342978197152,19.034342978197152,36.37736814576943,36.37736814576943,36.37736814576943,-4.278624882622181,-4.278624882622181,-4.278624882622181,40.65599302839161,40.65599302839161,40.65599302839161,0.0,0.0,0.0,55.41171112396658
6,2020-01-22,19.556148894566007,17.457753991440242,88.36032123267785,19.556148894566007,19.556148894566007,36.01625232935042,36.01625232935042,36.01625232935042,-3.4489809361639834,-3.4489809361639834,-3.4489809361639834,39.46523326551441,39.46523326551441,39.46523326551441,0.0,0.0,0.0,55.57240122391643
7,2020-01-23,20.077954810934866,18.165548861470317,90.90027806399823,20.077954810934866,20.077954810934866,33.89461296088895,33.89461296088895,33.89461296088895,-4.312581032724886,-4.312581032724886,-4.312581032724886,38.207193993613835,38.207193993613835,38.207193993613835,0.0,0.0,0.0,53.97256777182382
8,2020-01-24,20.59976072730372,16.172302804579594,88.86534872944574,20.59976072730372,20.59976072730372,31.659622749208804,31.659622749208804,31.659622749208804,-5.255470866946489,-5.255470866946489,-5.255470866946489,36.915093616155296,36.915093616155296,36.915093616155296,0.0,0.0,0.0,52.259383476512525
9,2020-01-27,22.16517847641029,15.219666165140572,87.05338313589223,22.16517847641029,22.16517847641029,30.373774972514173,30.373774972514173,30.373774972514173,-2.765059325468265,-2.765059325468265,-2.765059325468265,33.13883429798245,33.13883429798245,33.13883429798245,0.0,0.0,0.0,52.53895344892446
10,2020-01-28,22.686984392779145,14.566701528066437,87.84143466830628,22.686984392779145,22.686984392779145,27.72113338977854,27.72113338977854,27.72113338977854,-4.278624882617678,-4.278624882617678,-4.278624882617678,31.99975827239622,31.99975827239622,31.99975827239622,0.0,0.0,0.0,50.40811778255768
11,2020-01-29,23.208790309148004,14.900153697754043,84.01025722667043,23.208790309148004,23.208790309148004,27.50468142519415,27.50468142519415,27.50468142519415,-3.448980936168983,-3.448980936168983,-3.448980936168983,30.953662361363133,30.953662361363133,30.953662361363133,0.0,0.0,0.0,50.71347173434215
12,2020-01-30,23.730596225516862,14.368889289398782,85.20687852965132,23.730596225516862,23.730596225516862,25.700725063725177,25.700725063725177,25.700725063725177,-4.312581032727447,-4.312581032727447,-4.312581032727447,30.013306096452624,30.013306096452624,30.013306096452624,0.0,0.0,0.0,49.431321289242035
13,2020-01-31,24.252402141885717,12.94620317645578,83.96716104111567,24.252402141885717,24.252402141885717,23.930761524565643,23.930761524565643,23.930761524565643,-5.255470866972347,-5.255470866972347,-5.255470866972347,29.186232391537988,29.186232391537988,29.186232391537988,0.0,0.0,0.0,48.183163666451364
14,2020-02-03,25.817819890992286,16.07171711335057,86.05645395460982,25.817819890992286,25.817819890992286,24.61540494859836,24.61540494859836,24.61540494859836,-2.765059325435363,-2.765059325435363,-2.765059325435363,27.380464274033724,27.380464274033724,27.380464274033724,0.0,0.0,0.0,50.43322483959065
15,2020-02-04,26.33962580736114,12.843832145239078,85.15110147325406,26.33962580736114,26.33962580736114,22.69812017237244,22.69812017237244,22.69812017237244,-4.278624882613175,-4.278624882613175,-4.278624882613175,26.976745054985617,26.976745054985617,26.976745054985617,0.0,0.0,0.0,49.037745979733586
16,2020-02-05,26.861431723729996,16.446819413682356,84.24902941116054,26.861431723729996,26.861431723729996,23.19813039675514,23.19813039675514,23.19813039675514,-3.4489809361659485,-3.4489809361659485,-3.4489809361659485,26.64711133292109,26.64711133292109,26.64711133292109,0.0,0.0,0.0,50.05956212048514
